x	y	radius
728	582	67
728	582	68
811	1151	83
812	1151	83
813	1151	83
811	1152	83
812	1152	83
813	1152	83
811	1153	83
812	1153	83
813	1153	83
814	1153	83
812	1154	83
813	1154	83
814	1154	83
812	1155	83
813	1155	83
810	1148	84
809	1149	84
810	1149	84
811	1149	84
808	1150	84
809	1150	84
810	1150	84
811	1150	84
812	1150	84
809	1151	84
810	1151	84
811	1151	84
812	1151	84
813	1151	84
814	1151	84
810	1152	84
811	1152	84
812	1152	84
813	1152	84
814	1152	84
811	1153	84
812	1153	84
813	1153	84
814	1153	84
811	1154	84
812	1154	84
813	1154	84
814	1154	84
815	1154	84
811	1155	84
812	1155	84
813	1155	84
814	1155	84
815	1155	84
812	1156	84
813	1156	84
814	1156	84
815	1156	84
810	1148	85
809	1149	85
810	1149	85
811	1149	85
812	1149	85
813	1149	85
808	1150	85
809	1150	85
810	1150	85
811	1150	85
812	1150	85
813	1150	85
814	1150	85
808	1151	85
809	1151	85
810	1151	85
811	1151	85
812	1151	85
813	1151	85
814	1151	85
815	1151	85
808	1152	85
809	1152	85
810	1152	85
811	1152	85
813	1152	85
814	1152	85
815	1152	85
816	1152	85
809	1153	85
810	1153	85
813	1153	85
814	1153	85
815	1153	85
816	1153	85
817	1153	85
811	1154	85
812	1154	85
813	1154	85
814	1154	85
815	1154	85
816	1154	85
817	1154	85
818	1154	85
811	1155	85
812	1155	85
813	1155	85
814	1155	85
815	1155	85
816	1155	85
817	1155	85
818	1155	85
811	1156	85
812	1156	85
813	1156	85
814	1156	85
815	1156	85
816	1156	85
817	1156	85
811	1157	85
812	1157	85
813	1157	85
814	1157	85
815	1157	85
816	1157	85
817	1157	85
813	1158	85
814	1158	85
815	1158	85
816	1158	85
808	1147	86
807	1148	86
808	1148	86
811	1148	86
812	1148	86
813	1148	86
814	1148	86
810	1149	86
811	1149	86
812	1149	86
813	1149	86
814	1149	86
809	1150	86
810	1150	86
811	1150	86
812	1150	86
813	1150	86
814	1150	86
808	1151	86
809	1151	86
810	1151	86
811	1151	86
812	1151	86
813	1151	86
814	1151	86
815	1151	86
816	1151	86
817	1151	86
808	1152	86
809	1152	86
810	1152	86
811	1152	86
814	1152	86
815	1152	86
816	1152	86
817	1152	86
818	1152	86
808	1153	86
809	1153	86
810	1153	86
811	1153	86
814	1153	86
815	1153	86
816	1153	86
817	1153	86
818	1153	86
810	1154	86
813	1154	86
814	1154	86
815	1154	86
816	1154	86
817	1154	86
818	1154	86
812	1155	86
813	1155	86
814	1155	86
815	1155	86
816	1155	86
817	1155	86
818	1155	86
812	1156	86
813	1156	86
814	1156	86
815	1156	86
816	1156	86
817	1156	86
818	1156	86
812	1157	86
813	1157	86
814	1157	86
815	1157	86
816	1157	86
817	1157	86
812	1158	86
813	1158	86
814	1158	86
815	1158	86
816	1158	86
809	1145	87
810	1145	87
811	1145	87
808	1146	87
809	1146	87
810	1146	87
811	1146	87
807	1147	87
808	1147	87
809	1147	87
810	1147	87
811	1147	87
812	1147	87
813	1147	87
806	1148	87
807	1148	87
808	1148	87
811	1148	87
812	1148	87
813	1148	87
814	1148	87
815	1148	87
805	1149	87
806	1149	87
807	1149	87
808	1149	87
811	1149	87
812	1149	87
813	1149	87
814	1149	87
815	1149	87
816	1149	87
805	1150	87
806	1150	87
807	1150	87
811	1150	87
812	1150	87
813	1150	87
814	1150	87
815	1150	87
816	1150	87
817	1150	87
806	1151	87
809	1151	87
810	1151	87
811	1151	87
812	1151	87
813	1151	87
814	1151	87
815	1151	87
816	1151	87
817	1151	87
818	1151	87
809	1152	87
810	1152	87
811	1152	87
812	1152	87
813	1152	87
814	1152	87
815	1152	87
816	1152	87
817	1152	87
818	1152	87
808	1153	87
809	1153	87
